zts1e	General Effect
zts801e	During resurrection/phase 1, the survival ability is increased for a certain amount of time.
zts802e	Phase 2: Resurrection of the Team Arena
zts803e	During resurrection/phase 2, attack power is increased for a certain amount of time.
zts804e	Phase 3: Resurrection of the Team Arena
zts805e	During resurrection/phase 3, survival ability, attack power and movement speed are increased for a certain amount of time.
zts806e	Weak Combination
zts807e	Strong Combination
zts808e	Team arena attack power is increased.
zts809e	Team arena defence power is increased.
zts810e	Team arena energy is increased.
zts811e	Team arena movement speed is increased.
zts812e	Sharp Vision
zts813e	Sharp Vision exposes a hidden character for a short time.
zts814e	If everyone in the team belongs to the same class, the combination is weak.
zts815e	If everyone in the team belongs to different classes, the combination is strong.
zts816e	Movement speed is increased for a short time.
zts817e	Water Bomb
zts819e	Blessing of the Navy
zts820e	Defence power and water resistance are increased.
zts821e	Erenia's Blessing
zts822e	Erenia's Blessing makes you resistant to all bad effects with a 50% chance.
zts823e	Zenas' Blessing
zts824e	Zenas' Blessing blocks all received damage. But you can neither attack nor move.
zts825e	Astral Energy
zts826e	Astral Energy refills your MP faster.
zts827e	Camouflage Cap
zts828e	You are perfectly camouflaged and cannot be recognised by others.
zts829e	Revenge
zts830e	For a short time you can move as quick as a flash.
zts832e	Attack power and resistance to water have been reduced by the Water Bomb.
zts835e	Increase your fairy's experience points
zts836e	Your fairy's amount of experience points is increased.
zts837e	Smog
zts838e	Hazed
zts841e	Titan Wings
zts842e	Titan Booster
zts843e	Race of Darkness (F)
zts844e	Increases the power of the shadow element.
zts845e	Race of Darkness (E)
zts846e	Race of Darkness (D)
zts847e	Race of Darkness (C)
zts848e	Race of Darkness (B)
zts849e	Race of Darkness (A)
zts850e	Race of Darkness (S)
zts851e	Fascination (F)
zts852e	Induces a state of Temptation.
zts853e	Fascination (E)
zts854e	Fascination (D)
zts855e	Fascination (C)
zts856e	Fascination (B)
zts857e	Fascination (A)
zts858e	Fascination (S)
zts859e	Power of Darkness (F)
zts860e	Unleashes an almighty power of destruction.
zts861e	Power of Darkness (E)
zts862e	Power of Darkness (D)
zts863e	Power of Darkness (C)
zts864e	Power of Darkness (B)
zts865e	Power of Darkness (A)
zts866e	Power of Darkness (S)
zts867e	Temptation (F)
zts868e	Subjected to the opponent's temptation.
zts869e	Temptation (E)
zts870e	Temptation (D)
zts871e	Temptation (C)
zts872e	Temptation (B)
zts873e	Temptation (A)
zts874e	Temptation (S)
zts875e	Malice (F)
zts876e	Eliminates the opponent quick as a flash.
zts877e	Malice (E)
zts878e	Malice (D)
zts879e	Malice (C)
zts880e	Malice (B)
zts881e	Malice (A)
zts882e	Malice (S)
zts883e	Marked (F)
zts884e	In a muted state.
zts885e	Marked (E)
zts886e	Marked (D)
zts887e	Marked (C)
zts888e	Marked (B)
zts889e	Marked (A)
zts890e	Marked (S)
zts891e	Dance of the Flames (F)
zts892e	Reduces the opponent's resistance.
zts893e	Dance of the Flames (E)
zts894e	Dance of the Flames (D)
zts895e	Dance of the Flames (C)
zts896e	Dance of the Flames (B)
zts897e	Dance of the Flames (A)
zts898e	Dance of the Flames (S)
zts899e	Magic Pistol
zts900e	Strengthens the light element and replenishes HP.
zts901e	Cowboy's Blessing
zts902e	Increases resistance to the light element.
zts903e	Trojan Horse
zts904e	Summons a Trojan Horse to attack multiple enemies.
zts905e	Ninja's Blessing
zts906e	Increases resistance to the shadow element.
zts907e	Archangel Wings
zts908e	Archdaemon Wings
zts909e	Weak Godstrike
zts910e	Skill of God
zts911e	Godstrike
zts912e	Strong Godstrike
zts913e	Mighty Godstrike
zts914e	Confusion
zts915e	Causes damage to the enemy by destroying their mind.
zts916e	Armour of Darkness
zts917e	Enables the swift escape from danger.
zts918e	Weak Dark Energy
zts919e	Dark Energy inside the body causes damage.
zts920e	Dark Energy
zts921e	Strong Dark Energy
zts922e	Cursed Hands
zts923e	Receives heavy damage from the Cursed Hands.
zts924e	Illusion
zts925e	The Illusion leads to fear and deception.
zts926e	Mind Sink
zts927e	Mind Sink is possible by practising self-hypnosis.
zts928e	Strong Time Void
zts929e	Hinders the enemy by influencing their feeling for time.
zts930e	Time Void
zts931e	Weak Time Void
zts932e	Strong Wheel of Fortune
zts933e	Receives a positive effect by disturbing the enemy's sense of time.
zts934e	Wheel of Fortune
zts935e	Weak Wheel of Fortune
zts936e	Blade Changer
zts937e	The Blade Changer reduces the effects of healing items.
zts938e	Spirit Absorption
zts939e	Spirit Absorption allows extracted spirits to be absorbed.
zts940e	Mark of Death
zts941e	Causes additional damage to a person carrying this Mark of Death and affected by [Spirit Splitter].
zts942e	Spiritual Release
zts943e	Spiritual Release frees the absorbed spirits and reduces the skill's cooldown.
zts944e	Strong Spiritual Release
zts945e	Infinite Armour
zts946e	Infinite Armour increases defence and helps resist against forced movement.
zts947e	Weak Berserk Spirit
zts948e	The rage released by the Berserk Spirit increases strength.
zts949e	Berserk Spirit
zts950e	Strong Berserk Spirit
zts951e	Possession
zts952e	Possession causes damage during the effect duration and then transfers the effect to the nearest enemy to the target.
zts953e	Vengeful Spirit Pendulum
zts954e	Increases defensive abilities for a while.
zts955e	Strong Possession
zts956e	Becomes a host and takes the damage during the effect duration. The effect transfers to nearby enemies once it has expired on the host.
zts957e	Effect transferred via the host. Receives damage continuously during the effect duration.
zts958e	Sarakael's Light
zts959e	Sarakael's power is assured.
zts960e	Blazing Fire Wings
zts961e	Frosty Ice Wings
zts963e	Indian's Blessing
zts964e	Increases resistance to the fire element and reduces critical damage received.
zts965e	Indian Blood Tie
zts966e	Increases the strength of the fire element and sets multiple nearby enemies alight.
zts967e	Foxy's Charms
zts968e	Completely submissive and sedated by Foxy's Charms.
zts969e	Red Flask
zts970e	This delicate glass container contains a unique special effect.
zts971e	Fall for the Charms (F)
zts972e	Foxy turns everyone's head with Fine & Foxy.
zts973e	Fall for the Charms (E)
zts974e	Fall for the Charms (D)
zts975e	Fall for the Charms (C)
zts976e	Fall for the Charms (B)
zts977e	Fall for the Charms (A)
zts978e	Fall for the Charms (S)
zts979e	Fluffy Tail (F)
zts980e	Nine fluffy tails and oooh so soft.
zts981e	Fluffy Tail (E)
zts982e	Fluffy Tail (D)
zts983e	Fluffy Tail (C)
zts984e	Fluffy Tail (B)
zts985e	Fluffy Tail (A)
zts986e	Fluffy Tail (S)
zts987e	Piercing Howl (F)
zts988e	A biting and piercing fox howl from Foxy.
zts989e	Piercing Howl (E)
zts990e	Piercing Howl (D)
zts991e	Piercing Howl (C)
zts992e	Piercing Howl (B)
zts993e	Piercing Howl (A)
zts994e	Piercing Howl (S)
zts995e	Odin's Blessing
zts996e	Increases resistance to the water element, reduces skill cooldown time and restores MP at set intervals.
zts997e	Odin's Anger
zts998e	Increases resistance to bad effects and attack damage.
zts999e	Tiger Power
zts1000e	The tiger rises.
zts1001e	Reduces movement speed.
zts1002e	Sesame Oil
zts1003e	Old Sesame Oil
zts1004e	Spin Up
zts1005e	That dizzy feeling.
zts1006e	Massive Blood Loss (F)
zts1007e	Massive blood loss has set in.
zts1008e	Massive Blood Loss (E)
zts1009e	Massive Blood Loss (D)
zts1010e	Massive Blood Loss (C)
zts1011e	Massive Blood Loss (B)
zts1012e	Massive Blood Loss (A)
zts1013e	Massive Blood Loss (S)
zts1014e	Colossal Gale (F)
zts1015e	The tiger's tornado has no effect on high-level monsters or characters.
zts1016e	Colossal Gale (E)
zts1017e	Colossal Gale (D)
zts1018e	Colossal Gale (C)
zts1019e	Colossal Gale (B)
zts1020e	Colossal Gale (A)
zts1021e	Colossal Gale (S)
zts1022e	Tiger Power (F)
zts1023e	The tiger rises.
zts1024e	Tiger Power (E)
zts1025e	Tiger Power (D)
zts1026e	Tiger Power (C)
zts1027e	Tiger Power (B)
zts1028e	Tiger Power (A)
zts1029e	Tiger Power (S)
zts1030e	Fleet of Hand
zts1031e	Causes a critical hit with every attack for the duration of the effect.
zts1033e	Red Bean Soup
zts1034e	My Treasure, Your Treasure
zts1035e	Cheongbi and Hongbi are more powerful when they are together.
zts1036e	Devil's Blessing
zts1037e	Receives an incomplete blessing.
zts1038e	Thorn Bush
zts1039e	Laurena's dark magic uses thorns to cause incapacitation.
zts1040e	Scent of the Curse (Worm)
zts1041e	Laurena's dark magic transforms the target into a worm.
zts1042e	Scent of the Curse (Rat)
zts1043e	Laurena's dark magic transforms the target into a rat.
zts1044e	Horned Club (F)
zts1045e	Head's up! This hurts like hell!
zts1046e	Horned Club (E)
zts1047e	Horned Club (D)
zts1048e	Horned Club (C)
zts1049e	Horned Club (B)
zts1050e	Horned Club (A)
zts1051e	Horned Club (S)
zts1052e	Imp Clone (F)
zts1053e	Summons an aggressive imp clone.
zts1054e	Imp Clone (E)
zts1055e	Imp Clone (D)
zts1056e	Imp Clone (C)
zts1057e	Imp Clone (B)
zts1058e	Imp Clone (A)
zts1059e	Imp Clone (S)
zts1060e	Imp Hat (F)
zts1061e	Uses the impish ability to disappear into thin air.
zts1062e	Imp Hat (E)
zts1063e	Imp Hat (D)
zts1064e	Imp Hat (C)
zts1065e	Imp Hat (B)
zts1066e	Imp Hat (A)
zts1067e	Imp Hat (S)
zts1068e	Light of Judgement (F)
zts1069e	Punishes the enemy with the power of light.
zts1070e	Light of Judgement (E)
zts1071e	Light of Judgement (D)
zts1072e	Light of Judgement (C)
zts1073e	Light of Judgement (B)
zts1074e	Light of Judgement (A)
zts1075e	Light of Judgement (S)
zts1076e	Mark of Light (F)
zts1077e	A mark of blazing light.
zts1078e	Mark of Light (E)
zts1079e	Mark of Light (D)
zts1080e	Mark of Light (C)
zts1081e	Mark of Light (B)
zts1082e	Mark of Light (A)
zts1083e	Mark of Light (S)
zts1084e	Name of God (F)
zts1085e	Weakens the enemy with the power of God.
zts1086e	Name of God (E)
zts1087e	Name of God (D)
zts1088e	Name of God (C)
zts1089e	Name of God (B)
zts1090e	Name of God (A)
zts1091e	Name of God (S)
zts1092e	Power of Cleansing
zts1093e	The effect of the powder dispels the Morose Mood.
zts1094e	Morose Mood
zts1095e	Witch Laurena's powers absorb the life force.
zts1096e	Scent of the Curse (Bushi)
zts1097e	Laurena's dark magic transforms the target into a Bushi.
zts1098e	Magical Fetters
zts1099e	Enables the use of the elemental skills of the enemy's attacks.
zts1100e	Flame
zts1101e	Energy of Fire
zts1102e	Ice
zts1103e	Energy of Water
zts1104e	Halo
zts1105e	Energy of Light
zts1106e	No Element
zts1107e	Neutral Energy
zts1108e	Darkness
zts1109e	Fast Lane 1
zts1110e	Effect is removed on attack and additional damage inflicted.
zts1111e	Fast Lane 2
zts1112e	Fast Lane 3
zts1113e	Magic Spell
zts1114e	Spellbook Scholar
zts1115e	Increases skill to maximum for a certain length of time.
zts1116e	Illuminating Powder
zts1117e	Tinged by the Illuminating Powder. Receives additional damage from the Holy Explosion.
zts1118e	Memorial
zts1119e	Stores the location for teleporting.
zts1120e	Illumination
zts1121e	God's Blessing
zts1122e	Cut and Run
zts1123e	Slowed by a wound.
zts1124e	Judgement of Damnation
zts1125e	Incapacitated by the power of damnation.
zts1126e	Judgement
zts1127e	Cannot avoid attacks for a certain period of time.
zts1128e	Sanctuary
zts1129e	Reduces regeneration by a huge amount.
zts1130e	Ignition
zts1131e	The holy power envelops the sword, increasing attack damage.
zts1132e	Reignition
zts1133e	The holy power envelops the body, increasing defence.
zts1134e	Corruption
zts1135e	Combines the power of damnation, causing additional damage through conversion.
zts1136e	Dark Dash
zts1137e	Energy for sprints is maximised.
zts1138e	Pulse of Light (F)
zts1139e	Hit by an intensive pulse of light.
zts1140e	Pulse of Light (E)
zts1141e	Pulse of Light (D)
zts1142e	Pulse of Light (C)
zts1143e	Pulse of Light (B)
zts1144e	Pulse of Light (A)
zts1145e	Pulse of Light (S)
zts1146e	Thorn Bush (F)
zts1147e	Incapacitated by thorns.
zts1148e	Thorn Bush (E)
zts1149e	Thorn Bush (D)
zts1150e	Thorn Bush (C)
zts1151e	Thorn Bush (B)
zts1152e	Thorn Bush (A)
zts1153e	Thorn Bush (S)
zts1154e	Scent of the Curse (F)
zts1155e	Weakened by the Scent of the Curse.
zts1156e	Scent of the Curse (E)
zts1157e	Scent of the Curse (D)
zts1158e	Scent of the Curse (C)
zts1159e	Scent of the Curse (B)
zts1160e	Scent of the Curse (A)
zts1161e	Scent of the Curse (S)
zts1162e	Incapacitated by the Thorn Bush.
zts1163e	You've been weakened by the Scent of the Curse.
zts1164e	Witch's Blessing
zts1165e	Receives the Witch's Blessing from Laurena.
zts1166e	Provocation
zts1167e	Provokes the enemy with a haughty show.
zts1168e	Atrocity
zts1169e	Extremely irritated and angry.
zts1170e	Flames of Hell (F)
zts1171e	Flames of Hell
zts1172e	Flames of Hell (E)
zts1173e	Flames of Hell (D)
zts1174e	Flames of Hell (C)
zts1175e	Flames of Hell (B)
zts1176e	Flames of Hell (A)
zts1177e	Flames of Hell (S)
zts1178e	Boiling Over (F)
zts1179e	Boiling Over
zts1180e	Boiling Over (E)
zts1181e	Boiling Over (D)
zts1182e	Boiling Over (C)
zts1183e	Boiling Over (B)
zts1184e	Boiling Over (A)
zts1185e	Boiling Over (S)
zts1186e	Spell Tinder (F)
zts1187e	Reduces damage by using the powerful Spell Tinder.
zts1188e	Spell Tinder (E)
zts1189e	Spell Tinder (D)
zts1190e	Spell Tinder (C)
zts1191e	Spell Tinder (B)
zts1192e	Spell Tinder (A)
zts1193e	Spell Tinder (S)
zts1194e	Pact of Darkness
zts1195e	The Pact of Darkness increases attack speed.
zts1196e	Sinister Shadow
zts1197e	Allows you to defeat the enemy with a deadly attack.
zts1198e	Fleet of Foot
zts1199e	Maximises the ability to dodge physical attacks.
zts1200e	Holy Shield
zts1201e	A divine power protects you from enemy attacks.
zts1202e	Provides a certain probability to keep you hidden and prevent enemies from finding you for a random amount of time.
zts1203e	Hip Swing
zts1204e	A light-footed, agile attack with thrust.
zts1205e	Itching Grass
zts1206e	Grass makes the skin all itchy.
zts1207e	Carrot Poison
zts1208e	Lola's Carrot Poison is very effective.
zts1209e	Fright Cramp
zts1210e	Time Stopper
zts1211e	One of the talents of a long-lived tortoise.
zts1212e	Carrot Crush
zts1213e	Tempts the bunny with a giant carrot. Disappears as soon as the massive vegetable has been destroyed.
zts1214e	Itching Grass (F)
zts1215e	Itching Grass (E)
zts1216e	Itching Grass (D)
zts1217e	Itching Grass (C)
zts1218e	Itching Grass (B)
zts1219e	Itching Grass (A)
zts1220e	Itching Grass (S)
zts1221e	Carrot Poison (F)
zts1222e	Carrot Poison (E)
zts1223e	Carrot Poison (D)
zts1224e	Carrot Poison (C)
zts1225e	Carrot Poison (B)
zts1226e	Carrot Poison (A)
zts1227e	Carrot Poison (S)
zts1228e	Hip Swing (F)
zts1229e	Hip Swing (E)
zts1230e	Hip Swing (D)
zts1231e	Hip Swing (C)
zts1232e	Hip Swing (B)
zts1233e	Hip Swing (A)
zts1234e	Hip Swing (S)
zts1235e	Targeting (F)
zts1236e	Target acquired, danger imminent!
zts1237e	Targeting (E)
zts1238e	Targeting (D)
zts1239e	Targeting (C)
zts1240e	Targeting (B)
zts1241e	Targeting (A)
zts1242e	Targeting (S)
zts1243e	Snare (F)
zts1244e	Freedom of movement is temporarily restricted by the attack.
zts1245e	Snare (E)
zts1246e	Snare (D)
zts1247e	Snare (C)
zts1248e	Snare (B)
zts1249e	Snare (A)
zts1250e	Snare (S)
zts1251e	Supporting Fire (F)
zts1252e	Support from potent fire power.
zts1253e	Supporting Fire (E)
zts1254e	Supporting Fire (D)
zts1255e	Supporting Fire (C)
zts1256e	Supporting Fire (B)
zts1257e	Supporting Fire (A)
zts1258e	Supporting Fire (S)
zts1259e	Ancelloan's Prayer
zts1260e	Blessed by the power of Ancelloan.
zts1261e	Ancelloan's Apparition
zts1263e	Golden Wings
zts1264e	Onyx Wings
zts1265e	Absolute Zero (F)
zts1266e	MP sinks rapidly.
zts1267e	Absolute Zero (E)
zts1268e	Absolute Zero (D)
zts1269e	Absolute Zero (C)
zts1270e	Absolute Zero (B)
zts1271e	Absolute Zero (A)
zts1272e	Absolute Zero (S)
zts1273e	Bubble Blast (F)
zts1274e	HP sinks rapidly.
zts1275e	Bubble Blast (E)
zts1276e	Bubble Blast (D)
zts1277e	Bubble Blast (C)
zts1278e	Bubble Blast (B)
zts1279e	Bubble Blast (A)
zts1280e	Bubble Blast (S)
zts1281e	HP sinks rapidly. Receives massive damage from a critical hit.
zts1282e	Flash Freeze (F)
zts1283e	Cannot cast any spells because of sudden chilling effects.
zts1284e	Flash Freeze (E)
zts1285e	Cannot use any skills because of sudden chilling effects.
zts1286e	Flash Freeze (D)
zts1287e	Flash Freeze (C)
zts1288e	Flash Freeze (B)
zts1289e	Flash Freeze (A)
zts1290e	Flash Freeze (S)
zts1291e	Cannot use any skills because of sudden chilling effects. All resistances are reduced.
zts1292e	Frost Fog (F)
zts1293e	Poor visibility makes it difficult to find the enemy.
zts1294e	Frost Fog (E)
zts1295e	Frost Fog (D)
zts1296e	Frost Fog (C)
zts1297e	Frost Fog (B)
zts1298e	Frost Fog (A)
zts1299e	Frost Fog (S)
zts1300e	Frostbite (F)
zts1301e	It's impossible to escape the biting cold.
zts1302e	Frostbite (E)
zts1303e	Frostbite (D)
zts1304e	Frostbite (C)
zts1305e	Frostbite (B)
zts1306e	Frostbite (A)
zts1307e	Frostbite (S)
zts1308e	Ice Sheen (F)
zts1309e	Creates a thin film of ice to steal the enemy's good effect.
zts1310e	Ice Sheen (E)
zts1311e	Ice Sheen (D)
zts1312e	Ice Sheen (C)
zts1313e	Ice Sheen (B)
zts1314e	Ice Sheen (A)
zts1315e	Ice Sheen (S)
zts1316e	Vicious Wound (F)
zts1317e	A deep and nasty wound. Difficult to heal.
zts1318e	Vicious Wound (E)
zts1319e	Vicious Wound (D)
zts1320e	Vicious Wound (C)
zts1321e	Vicious Wound (B)
zts1322e	Vicious Wound (A)
zts1323e	Vicious Wound (S)
zts1324e	Plunder (F)
zts1325e	Defeat the enemy to earn the booty.
zts1326e	Plunder (E)
zts1327e	Plunder (D)
zts1328e	Plunder (C)
zts1329e	Plunder (B)
zts1330e	Plunder (A)
zts1331e	Plunder (S)
zts1332e	Spooked (F)
zts1333e	Crippled by fear of the ghost ship.
zts1334e	Spooked (E)
zts1335e	Spooked (D)
zts1336e	Spooked (C)
zts1337e	Spooked (B)
zts1338e	Spooked (A)
zts1339e	Spooked (S)
zts1340e	Rage Mode
zts1341e	The rage meter is completely full.
zts1342e	Crybaby
zts1343e	Forgetful Erenia
zts1344e	Foolhardy Zenas
zts1345e	Where's My Horn?
zts1346e	Forgetful Erenia has forgotten that she already used her horn.
zts1347e	Give Me Back My Shoes!
zts1348e	She regrets throwing her own shoe.
zts1349e	Crafted Horn
zts1350e	Grace of Erenia
zts1351e	Luxury Shoes
zts1352e	Grace of Zenas
zts1353e	Conflict of Pain
zts1354e	Ancelloan's Blessing
zts1355e	Grace of Ancelloan
zts1356e	You receive the Grace of Ancelloan because you rescued the crusader.
zts1357e	Crusader's Sorrow
zts1358e	This feeds on the crusader's rancour.
zts1359e	Erenia's Curse
zts1360e	Erenia's Curse
zts1361e	Zenas' Curse
zts1362e	Zenas' Curse
zts1363e	Ancelloan's Protection
zts1364e	Ancelloan's Curse
zts1365e	Ancelloan's Curse is extremely powerful.
zts1366e	Zenas' Disgust
zts1367e	Zenas is fiercely outraged.
zts1368e	Rage Mode
zts1369e	The rage meter is completely full.
zts1370e	Trickery
zts1371e	Disappeared in the blink of an eye.
zts1376e	Concussion (F)
zts1377e	Dizziness caused by the impact with the teddy bear.
zts1378e	Concussion (E)
zts1379e	Concussion (D)
zts1380e	Concussion (C)
zts1381e	Concussion (B)
zts1382e	Concussion (A)
zts1383e	Concussion (S)
zts1384e	Puppet Mastery (F)
zts1385e	Transformed by the power of the puppet master.
zts1386e	Puppet Mastery (E)
zts1387e	Puppet Mastery (D)
zts1388e	Puppet Mastery (C)
zts1389e	Puppet Mastery (B)
zts1390e	Puppet Mastery (A)
zts1391e	Puppet Mastery (S)
zts1392e	Giantism (F)
zts1393e	The giant teddy bear feeds on the soul of its owner.
zts1394e	Giantism (E)
zts1395e	Giantism (D)
zts1396e	Giantism (C)
zts1397e	Giantism (B)
zts1398e	Giantism (A)
zts1399e	Giantism (S)
zts1400e	Russian Roulette (F)
zts1401e	The game of death.
zts1402e	Russian Roulette (E)
zts1403e	Russian Roulette (D)
zts1404e	Russian Roulette (C)
zts1405e	Russian Roulette (B)
zts1406e	Russian Roulette (A)
zts1407e	Russian Roulette (S)
zts1408e	Harlequin's Spell (F)
zts1409e	One of the circus phantom's pranks.
zts1410e	Harlequin's Spell (E)
zts1411e	Harlequin's Spell (D)
zts1412e	Harlequin's Spell (C)
zts1413e	Harlequin's Spell (B)
zts1414e	Harlequin's Spell (A)
zts1415e	Harlequin's Spell (S)
zts1416e	Mystifying (F)
zts1417e	Mystified into losing consciousness.
zts1418e	Mystifying (E)
zts1419e	Mystifying (D)
zts1420e	Mystifying (C)
zts1421e	Mystifying (B)
zts1422e	Mystifying (A)
zts1423e	Mystifying (S)
zts1424e	Megamandra (F)
zts1425e	Summons a giant mandra to attack the enemy.
zts1426e	Megamandra (E)
zts1427e	Megamandra (D)
zts1428e	Megamandra (C)
zts1429e	Megamandra (B)
zts1430e	Megamandra (A)
zts1431e	Megamandra (S)
zts1432e	Root Prison (F)
zts1433e	Immobilised by shackling roots.
zts1434e	Root Prison (E)
zts1435e	Root Prison (D)
zts1436e	Root Prison (C)
zts1437e	Root Prison (B)
zts1438e	Root Prison (A)
zts1439e	Root Prison (S)
zts1440e	Phase Change (F)
zts1441e	Swaps position with the target for a short period.
zts1442e	Phase Change (E)
zts1443e	Phase Change (D)
zts1444e	Phase Change (C)
zts1445e	Phase Change (B)
zts1446e	Phase Change (A)
zts1447e	Phase Change (S)
zts1448e	Sword Trail (F)
zts1449e	A random slice causes critical bleeding.
zts1450e	Sword Trail (E)
zts1451e	Sword Trail (D)
zts1452e	Sword Trail (C)
zts1453e	Sword Trail (B)
zts1454e	Sword Trail (A)
zts1455e	Sword Trail (S)
zts1456e	Blunder (F)
zts1457e	Heavy damage puts you in jeopardy.
zts1458e	Blunder (E)
zts1459e	Blunder (D)
zts1460e	Blunder (C)
zts1461e	Blunder (B)
zts1462e	Blunder (A)
zts1463e	Blunder (S)
zts1464e	Flower Reflector (F)
zts1465e	When you receive damage, some of it will be reflected. Skills that only generate a debuff cannot be reflected.
zts1466e	Flower Reflector (E)
zts1467e	Flower Reflector (D)
zts1468e	Flower Reflector (C)
zts1469e	Flower Reflector (B)
zts1470e	Flower Reflector (A)
zts1471e	Flower Reflector (S)
zts1472e	Little Princess Venus (F)
zts1473e	Partner's following effect.
zts1474e	Little Princess Venus (E)
zts1475e	Little Princess Venus (D)
zts1476e	Little Princess Venus (C)
zts1477e	Little Princess Venus (B)
zts1478e	Little Princess Venus (A)
zts1479e	Little Princess Venus (S)
zts1480e	Krem's Ego (Main Weapon)
zts1481e	A weapon which has its own ego. If you combine it with the other Krem weapon...
zts1482e	Krem's Ego (Secondary Weapon)
zts1483e	Azrael, Angel of Death
zts1484e	Absorbed by Fernon's wings.
zts1485e	Seli-Lusha's Essence
zts1486e	A shimmering tree essence.
zts1487e	Rumial's Dawn
zts1488e	A glittering jewel which summons the morning.
zts1489e	Lorten's Dusk
zts1490e	A shadow which heralds the night.
zts1491e	Shares' Battle Cry
zts1492e	The energy of the brave Shares.
zts1493e	Glacernon's Echo
zts1494e	An echo of the silver soul of Glacernon.
zts1495e	Mukraju's Wisdom
zts1496e	The great knowledge and wisdom of the sorcerer Mukraju.
zts1497e	Ancelloan the Creator
zts1498e	Ancelloan, with whom everything began.
zts1499e	Fernon the Destroyer
zts1500e	Fernon, the bringer of the end.
zts1501e	Divine Will
zts1502e	Greatly increases the chance of inflicting critical damage.
zts1503e	Divine Retribution
zts1504e	Reflects all attacks.
zts1505e	Light Energy of Krem
zts1506e	You can feel the energy of Krem.
zts1507e	Punishment
zts1508e	The magic used by the Angel of Death to heal souls. Fernon can now use it by absorbing the energy.
zts1509e	Shadow Energy of Krem
zts1510e	Krem's powerful stunning blow.
zts1511e	Grace of the Goddess
zts1512e	Rapidly restores HP.
zts1513e	Wrath of the Goddess
zts1514e	Rapidly reduces HP.
zts1515e	Curse of the Goddess
zts1516e	Applies various curses.
zts1517e	Envy of the Goddess
zts1518e	Reflects damage.
zts1519e	Ancelloan the Creator
zts1520e	Greatly increases PvP defence.
zts1521e	Fernon the Destroyer
zts1522e	Greatly increases PvP damage.
zts1523e	Frost of Glacernon
zts1524e	Greatly reduces movement speed.
zts1525e	Curse of Glacernon
zts1526e	Cannot attack for a short time.
zts1527e	Leo's Blessing
zts1528e	Groovy Beach Vibes
zts1529e	Fairy Wings
zts1531e	Fafnir's Curse
zts1532e	Tremble before the might of the terrible dragon!
zts1533e	Odin's Blessing
zts1534e	Feel the power of Odin!
zts1535e	Call of the Viking
zts1536e	Crush your enemies' resolve.
zts1537e	Will of the Warrior
zts1538e	Rise, valiant warrior!
zts1539e	Avenging Angel's Blessing
zts1540e	Receive the Avenging Angel's Blessing.
zts1541e	Soul Guardian
zts1542e	The Avenging Angel carries the souls of the fallen to Valhalla.
zts1543e	Mother Nature's Blessing
zts1544e	Rejuvenated by Nature's Blessing.
zts1545e	Wind Pressure
zts1546e	It's difficult to fight against the wind.
zts1547e	Sticky Spittle
zts1548e	This spittle is worse than super glue.
zts1549e	Trap
zts1550e	Reduces movement speed. Makes it difficult to hit the target with a physical attack.
zts1551e	Advanced Blockade
zts1552e	Blocks bad effects for as long as it's in use.
zts1553e	Pirate's Blessing
zts1554e	You can receive an unknown item while you are being accompanied.
zts1555e	Admiral's Blessing
zts1556e	You receive more champion experience and fame.
zts1557e	Lich Magic
zts1558e	Uses lich magic to increase the power of darkness.
zts1559e	Strong Lich Magic
zts1560e	Uses lich magic to greatly increase the power of darkness.
zts1561e	Dragon Vitality
zts1562e	Regenerates the body using the vitality of the dragon.
zts1563e	Strong Dragon Vitality
zts1564e	Quickly regenerates the body using the vitality of the dragon.
zts1565e	Total Protection
zts1566e	Prevents all damage.
zts1567e	Forbidden Magic
zts1568e	Creates an undead when all vitality has been leeched.
zts1569e	Spectral Strike (F)
zts1570e	You learn to use spectral powers.
zts1571e	Spectral Strike (E)
zts1572e	Spectral Strike (D)
zts1573e	Spectral Strike (C)
zts1574e	Spectral Strike (B)
zts1575e	Spectral Strike (A)
zts1576e	Spectral Strike (S)
zts1577e	Shadowfall (F)
zts1578e	Causes an explosion using shadow magic.
zts1579e	Shadowfall (E)
zts1580e	Shadowfall (D)
zts1581e	Shadowfall (C)
zts1582e	Shadowfall (B)
zts1583e	Shadowfall (A)
zts1584e	Shadowfall (S)
zts1585e	Viking Pride (F)
zts1586e	Increases the Viking's pride.
zts1587e	Viking Pride (E)
zts1588e	Viking Pride (D)
zts1589e	Viking Pride (C)
zts1590e	Viking Pride (B)
zts1591e	Viking Pride (A)
zts1592e	Viking Pride (S)
zts1593e	Bone Warrior Ragnar's Companion (F)
zts1594e	Bone Warrior Ragnar's Companion (E)
zts1595e	Bone Warrior Ragnar's Companion (D)
zts1596e	Bone Warrior Ragnar's Companion (C)
zts1597e	Bone Warrior Ragnar's Companion (B)
zts1598e	Bone Warrior Ragnar's Companion (A)
zts1599e	Bone Warrior Ragnar's Companion (S)
zts1600e	Ambition
zts1601e	The prospect of success inspires you.
zts1602e	Vitality
zts1603e	This little devil is elusive.
zts1604e	Inspiration
zts1605e	Can reveal the invisible using a special talent.
zts1606e	10th Anniversary Buff
zts1607e	Dream World Ticket
zts1608e	A magical sleep which is impossible to withstand.
zts1609e	Magic Cube [Hide]
zts1610e	You can move around in secret, even without the necessary magical powers.
zts1611e	Magic Cube [Resistance]
